Province,Latitude,Longitude
An Giang,10.514902499466372,105.11317919999999
Bac Giang,21.309286300408615,106.61651279999998
Bắc Kạn,22.257170100404753,105.85889579999998
Bac Lieu,9.347731699411282,105.50970639999998
Bac Ninh,21.121205100406353,106.0880245
Ba Ria-Vung Tau,10.581979799470517,107.2899841
Ben Tre,10.109363699443508,106.55256699999998
Ben Tre,10.124525399444291,106.46904469999998
Binh Dinh,14.152520099807738,108.92396179999999
Binh Duong,11.224068699515232,106.66746809999998
Binh Duong,11.19698289951317,106.70805269999998
Binh Phuoc,11.679021299552062,106.797558
Binh Phuoc,11.73324839955672,106.906249
Binh Thuan,11.101461999506014,107.9415938
Ca Mau,9.087542899403607,105.03204699999999
Can Tho,10.090658899442543,105.5799367
Cao Bằng,22.77308670039197,106.0017225
Dak Lak,12.839939199662458,108.22849469999998
Dak Nong,12.128868699592262,107.58742609999999
Dien Bien,21.721012600410084,103.04108189999998
Dong Nai,11.006321199499077,107.19218069999998
Dong Tháp,10.626665899473338,105.63162180000002
Gia Dinh,10.803409899484928,106.6961805
Gia Lai,13.796406699766838,108.2608263
Ha Giang,22.6068909003969,104.79948
Hai Duong,20.944368100403302,106.3780373
Ha Nam,20.526908800392647,105.9543527
Ha Tinh,18.28790590025916,105.78427739999998
Hau Giang,9.76331969942709,105.6379524
Hoa Binh,20.66091770039659,105.3924747
Hung Yen,20.81933690040061,106.0314504
Khanh Hoa,12.196080299598565,108.9950386
Kien Giang,9.91139449943376,105.2533879
Kon Tum,14.69953719987179,107.9323831
Lai Chau,22.304872800403885,102.96288619999999
Lam Dong,11.693772499553324,108.15275399999999
Lang Son,21.85670120040951,106.4424353
Lao Cai,22.296765700404045,104.0566164
Nam Dinh,20.271224100383748,106.1629895
Nghe An,19.373886800338976,104.9233469
Ninh Binh,20.184483200380335,105.9802529
Ninh Thuan,11.74497149955773,108.8983408
Phu Tho,21.32122400040873,105.1267207
Phu Yen,13.21265519970199,109.0834225
Quang Binh,17.54626580019112,106.2576229
Quang Nam,15.597334399977697,107.9758089
Quang Ngai,14.963534899902973,108.6642632
Quang Ninh,21.171804600407057,107.2012742
Quang Tri,16.858135200120294,106.8588935
Sa Dec,10.316291099454693,105.6988291
Soc Trang,9.586778899419848,105.9468456
Son La,21.15085020040677,103.88842940000002
Tay Ninh,11.404628999529363,106.00339089999999
Thai Binh,20.52968320039273,106.3876068
Thai Nguyen,21.649850200410178,105.8351394
Thanh Hoa,20.10716940037712,105.2124457
Thua Thien–Hue,16.337537400062946,107.55637079999998
Tra Vinh,9.770460599427402,106.35638059999998
Tuyen Quang,22.125675500406818,105.2089725
Vinh Phuc,21.31135600040864,105.60329439999998
Yen Bai,21.8013688004098,104.51480659999999
